CoC_Number,Total_Year_Round_Beds_ES_TH_RRH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_RRH_SH,Total_HMIS_Year_Round_Beds_ES_TH_RRH_SH,HMIS_Participation_Rate_ES_TH_RRH_SH,Total_Emergency_Shelter_ES_Beds_excluding_seasonal_overflow,Total_Transitional_Housing_TH_Beds,Total_Rapid_Rehousing_RRH_Beds,Total_Safe_Haven_SH_Beds,Total_Units_for_Households_with_Children_ES_TH_RRH,Total_Beds_for_Households_with_Children_ES_TH_RRH,Total_Beds_for_Households_without_Children_ES_TH_RRH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_RRH_SH,Total_Year_Round_ES_Beds,Total_Non_DV_Year_Round_ES_Beds,Total_HMIS_Year_Round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_Overflow_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_ES_Beds_for_Households_with_only_Children,Total_TH_Beds,Total_Year_Round_TH_Beds,Total_Non_DV_Year_Round_TH_Beds,Total_HMIS_Year_Round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_TH_Beds_for_Households_with_only_Children,Total_RRH_Beds,Total_Year_Round_RRH_Beds,Total_Non_DV_Year_Round_RRH_Beds,Total_HMIS_Year_Round_RRH_Beds,RRH_HMIS_Participation_Rate,Total_RRH_Units_for_Households_with_Children,Total_RRH_Beds_for_Households_with_Children,Total_RRH_Beds_for_Households_without_Children,Total_RRH_Beds_for_Households_with_only_Children,Total_SH_Beds,Total_Year_Round_SH_Beds,Total_Non_DV_Year_Round_SH_Beds,Total_HMIS_Year_Round_SH_Beds,SH_HMIS_Participation_Rate,Total_SH_Beds_for_Households_without_Children,Total_SH_Beds_for_Households_with_only_Children,Total_PSH_Beds,Total_Year_Round_PSH_Beds,Total_Non_DV_Year_Round_PSH_Beds,Total_HMIS_Year_Round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children,Total_PSH_Beds_for_Households_with_only_Children
TX-603,1410,1309,1064,0.813,838,552,0,20,164,663,739,8,838,752,601,0.799,0,51,58,294,536,8,552,552,537,443,0.825,106,369,183,0,0,0,0,0,0,0,0,0,0,20,20,20,20,1,20,0,80,80,80,80,1,47,5,16,64,0
TX-604,244,171,163,0.953,123,113,0,8,36,138,106,0,123,68,68,1,0,50,15,54,69,0,113,113,95,95,1,21,84,29,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,8,0,92,92,88,28,0.318,15,0,0,92,0
TX-607,5792,3723,1882,0.506,4109,1573,110,0,755,2810,2869,113,4109,2418,1231,0.509,80,192,463,1832,2171,106,1573,1573,1195,635,0.531,271,908,658,7,110,110,110,16,0.145,21,70,40,0,0,0,0,0,0,0,0,1122,1122,1049,268,0.255,679,124,400,722,0
TX-611,649,625,614,0.982,580,69,0,0,72,261,388,0,580,556,545,0.98,0,210,54,199,381,0,69,69,69,69,1,18,62,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,215,215,122,0.567,51,64,98,117,0
TX-624,369,308,308,1,369,0,0,0,9,145,190,34,369,308,308,1,0,0,9,145,190,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TX-700,4060,3368,2584,0.767,1269,2569,197,25,526,1832,2228,0,1269,1135,779,0.686,0,57,126,489,780,0,2569,2569,2091,1666,0.797,360,1216,1353,0,197,197,117,114,0.974,40,127,70,0,25,25,25,25,1,25,0,3242,3242,2990,1928,0.645,276,588,2091,1151,0
TX-701,221,176,146,0.83,151,70,0,0,39,66,155,0,151,106,92,0.868,12,0,29,46,105,0,70,70,70,54,0.771,10,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TX-703,598,474,117,0.247,239,359,0,0,70,196,365,37,239,155,57,0.368,0,33,35,108,115,16,359,359,319,60,0.188,35,88,250,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,63,39,0.619,3,7,17,46,0
UT-500,1942,1636,1578,0.965,1055,695,143,49,267,847,1069,26,1055,881,864,0.981,700,25,104,325,706,24,695,695,563,522,0.927,112,379,314,2,143,143,143,143,1,51,143,0,0,49,49,49,49,1,49,0,1632,1632,1632,1568,0.961,619,234,783,849,0
UT-503,1045,679,550,0.81,458,441,146,0,218,673,372,0,458,280,207,0.739,9,9,61,192,266,0,441,441,253,197,0.779,111,335,106,0,146,146,146,146,1,46,146,0,0,0,0,0,0,0,0,0,215,215,215,139,0.647,115,6,23,192,0
UT-504,201,134,121,0.903,89,53,59,0,53,144,48,9,89,53,44,0.83,0,0,12,36,44,9,53,53,22,18,0.818,27,49,4,0,59,59,59,59,1,14,59,0,0,0,0,0,0,0,0,0,188,188,160,160,1,68,21,73,115,0
VA-500,1013,932,821,0.881,354,469,170,20,128,423,590,0,354,303,297,0.98,40,114,38,146,208,0,469,469,439,357,0.813,35,127,342,0,170,170,170,147,0.865,55,150,20,0,20,20,20,20,1,20,0,775,775,775,440,0.568,186,116,347,428,0
VA-501,744,622,409,0.658,363,176,205,0,138,487,253,4,363,305,118,0.387,177,97,44,181,178,4,176,176,145,119,0.821,31,109,67,0,205,205,172,172,1,63,197,8,0,0,0,0,0,0,0,0,441,441,441,363,0.823,174,52,203,238,0
VA-502,651,575,155,0.27,561,90,0,0,78,313,338,0,561,485,65,0.134,0,0,63,273,288,0,90,90,90,90,1,15,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,136,136,54,0.397,18,18,46,90,0
VA-503,370,260,223,0.858,125,245,0,0,64,258,112,0,125,62,61,0.984,64,38,16,74,51,0,245,245,198,162,0.818,48,184,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,356,356,235,0.66,68,27,96,260,0
VA-504,143,109,90,0.826,92,51,0,0,12,60,79,4,92,67,58,0.866,65,14,1,10,78,4,51,51,42,32,0.762,11,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,67,67,1,65,0,0,67,0
VA-505,529,417,233,0.559,275,190,42,22,66,260,269,0,275,226,83,0.367,215,39,30,107,168,0,190,190,127,112,0.882,31,141,49,0,42,42,42,16,0.381,5,12,30,0,22,22,22,22,1,22,0,430,430,430,157,0.365,42,61,129,301,0
VA-507,126,84,84,1,72,54,0,0,26,92,34,0,72,30,30,1,80,0,16,51,21,0,54,54,54,54,1,10,41,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,134,134,134,1,38,8,27,107,0
VA-508,246,196,178,0.908,138,108,0,0,39,132,114,0,138,88,88,1,0,0,26,82,56,0,108,108,108,90,0.833,13,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,46,46,1,0,9,23,23,0
VA-513,407,277,236,0.852,317,30,60,0,54,200,188,19,317,226,191,0.845,75,12,34,143,155,19,30,30,30,24,0.8,3,12,18,0,60,60,21,21,1,17,45,15,0,0,0,0,0,0,0,0,42,42,42,4,0.095,4,10,28,14,0
VA-514,210,152,144,0.947,110,38,62,0,44,137,73,0,110,88,80,0.909,37,13,15,50,60,0,38,38,38,38,1,13,38,0,0,62,62,26,26,1,16,49,13,0,0,0,0,0,0,0,0,53,53,53,53,1,40,1,4,49,0
VA-521,1050,765,600,0.784,639,238,173,0,224,688,362,0,639,383,315,0.822,48,6,123,354,285,0,238,238,218,191,0.876,55,192,46,0,173,173,164,94,0.573,46,142,31,0,0,0,0,0,0,0,0,89,89,89,59,0.663,37,9,25,64,0
VA-600,309,309,298,0.964,126,177,0,6,92,247,62,0,126,126,115,0.913,73,15,26,82,44,0,177,177,177,177,1,66,165,12,0,0,0,0,0,0,0,0,0,0,6,6,6,6,1,6,0,155,155,155,155,1,40,14,36,119,0
VA-601,1201,1049,969,0.924,402,628,163,8,283,948,253,0,402,342,342,1,230,83,74,257,145,0,628,628,536,472,0.881,166,544,84,0,163,163,163,147,0.902,43,147,16,0,8,8,8,8,1,8,0,438,438,438,379,0.865,146,36,131,307,0
VA-602,210,198,198,1,79,91,40,0,54,177,33,0,79,67,67,1,16,2,26,63,16,0,91,91,91,91,1,18,82,9,0,40,40,40,40,1,10,32,8,0,0,0,0,0,0,0,0,2,2,2,2,1,1,0,0,2,0
VA-603,296,279,274,0.982,162,99,23,12,47,151,145,0,162,145,145,1,67,4,20,70,92,0,99,99,99,99,1,21,64,35,0,23,23,23,18,0.783,6,17,6,0,12,12,12,12,1,12,0,35,35,35,35,1,2,3,8,27,0
VA-604,430,413,409,0.99,157,171,102,0,108,369,61,0,157,140,136,0.971,48,0,33,120,37,0,171,171,171,171,1,54,168,3,0,102,102,102,102,1,21,81,21,0,0,0,0,0,0,0,0,73,73,73,73,1,25,9,35,38,0
VI-500,151,105,92,0.876,91,60,0,0,30,61,90,0,91,65,65,1,0,0,10,41,50,0,60,60,40,27,0.675,20,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,59,59,1,12,10,30,29,0
VT-500,984,878,202,0.23,721,257,0,6,224,622,362,0,721,638,92,0.144,49,0,180,506,215,0,257,257,234,104,0.444,44,116,141,0,0,0,0,0,0,0,0,0,0,6,6,6,6,1,6,0,422,422,422,281,0.666,385,37,110,312,0
VT-501,430,386,29,0.075,346,84,0,0,92,236,186,8,346,332,8,0.024,0,0,74,196,150,0,84,84,54,21,0.389,18,40,36,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,127,127,43,0.339,70,3,6,121,0
WA-500,6848,6171,5079,0.823,2645,4111,47,45,1211,3984,2818,46,2645,2459,1968,0.8,431,133,220,773,1850,22,4111,4111,3620,3019,0.834,977,3170,917,24,47,47,47,47,1,14,41,6,0,45,45,45,45,1,45,0,4365,4365,4365,3534,0.81,1616,260,775,3590,0
WA-501,6878,6178,5535,0.896,1879,1991,3008,0,1892,4620,2229,29,1879,1372,962,0.701,274,118,334,1220,630,29,1991,1991,1817,1617,0.89,433,1296,695,0,3008,3008,2989,2956,0.989,1125,2104,904,0,0,0,0,0,0,0,0,1763,1763,1763,1313,0.745,366,198,539,1224,0
WA-502,1421,1369,826,0.603,644,526,251,0,183,617,767,37,644,604,169,0.28,0,0,50,233,374,37,526,526,514,406,0.79,122,350,176,0,251,251,251,251,1,11,34,217,0,0,0,0,0,0,0,0,655,655,655,372,0.568,200,91,202,453,0
WA-503,1263,1120,1026,0.916,446,662,155,0,292,911,352,0,446,358,350,0.978,108,37,77,219,227,0,662,662,633,547,0.864,175,544,118,0,155,155,129,129,1,40,148,7,0,0,0,0,0,0,0,0,673,673,673,373,0.554,389,28,101,572,0
WA-504,735,701,662,0.944,392,272,71,0,123,377,337,21,392,373,359,0.962,0,23,44,139,245,8,272,272,257,232,0.903,63,179,80,13,71,71,71,71,1,16,59,12,0,0,0,0,0,0,0,0,893,893,893,733,0.821,232,122,364,529,0
WA-507,646,547,244,0.446,387,259,0,0,153,463,183,0,387,340,101,0.297,70,29,71,227,160,0,259,259,207,143,0.691,82,236,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,254,254,134,0.528,80,36,102,152,0
WA-508,760,737,737,1,161,286,303,10,224,616,144,0,161,138,138,1,74,41,44,111,50,0,286,286,286,286,1,100,242,44,0,303,303,303,303,1,80,263,40,0,10,10,10,10,1,10,0,443,443,443,226,0.51,155,43,100,343,0
WI-500,4163,2983,2578,0.864,2146,1821,189,7,901,2753,1402,8,2146,1404,1146,0.816,220,304,400,1297,849,0,1821,1821,1383,1236,0.894,442,1308,505,8,189,189,189,189,1,59,148,41,0,7,7,7,7,1,7,0,407,407,407,252,0.619,70,23,67,340,0
WI-501,1584,1512,1375,0.909,715,795,31,43,236,720,836,28,715,653,590,0.904,25,0,81,235,452,28,795,795,785,719,0.916,155,485,310,0,31,31,31,23,0.742,0,0,31,0,43,43,43,43,1,43,0,1257,1257,1257,1114,0.886,165,83,237,1020,0
WI-502,305,242,200,0.826,193,112,0,0,49,146,159,0,193,162,150,0.926,0,0,29,85,108,0,112,112,80,50,0.625,20,61,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,86,43,0.5,31,2,6,89,0
WI-503,649,610,610,1,321,314,0,14,106,345,300,4,321,296,296,1,93,29,50,161,156,4,314,314,300,300,1,56,184,130,0,0,0,0,0,0,0,0,0,0,14,14,14,14,1,14,0,1025,1025,1025,989,0.965,29,160,583,442,0
WV-500,116,79,79,1,76,40,0,0,23,62,54,0,76,53,53,1,16,19,11,28,48,0,40,40,26,26,1,12,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,1,11,0,0,18,0
WV-501,291,270,270,1,177,98,3,13,37,128,163,0,177,156,156,1,0,1,19,60,117,0,98,98,98,98,1,18,68,30,0,3,3,3,3,1,0,0,3,0,13,13,13,13,1,13,0,518,518,518,518,1,87,34,99,419,0
WV-503,442,425,251,0.591,305,128,9,0,45,149,288,5,305,288,140,0.486,0,26,34,109,196,0,128,128,128,102,0.797,11,40,83,5,9,9,9,9,1,0,0,9,0,0,0,0,0,0,0,0,156,156,156,106,0.679,56,15,21,135,0
WV-508,1131,900,490,0.544,720,406,5,0,151,477,654,0,720,589,327,0.555,32,114,84,260,460,0,406,406,306,162,0.529,66,214,192,0,5,5,5,1,0.2,1,3,2,0,0,0,0,0,0,0,0,514,514,514,164,0.319,121,99,271,243,0
WY-500,905,688,483,0.702,596,309,0,0,151,398,507,0,596,408,247,0.605,0,16,69,229,367,0,309,309,280,236,0.843,82,169,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,198,198,20,0.101,6,24,75,77,46
Total,446078,392069,316554,,238708,185332,19847,2191,74148,235653,206413,4012,238708,203944,161331,,20822,27233,35065,118107,117885,2716,185332,185332,166772,135111,,33171,101843,82205,1284,19847,19847,19171,18053,,5912,15703,4132,12,2191,2191,2182,2059,,2191,0,284298,284298,281614,204518,,81666,39030,108065,176128,105
