CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non-DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Total_Non-DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Total_Non-DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Total_Non-DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Total_Year_Round_Beds_RRH_AND_DEM,Total_Non-DV_Year_Round_Beds_RRH_AND_DEM,Total_HMIS_Year_Round_Beds_RRH_AND_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_RRH_AND_DEM,Total_Units_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_without_Children_RRH_AND_DEM,Total_Beds_for_Households_with_only_Children_RRH_AND_DEM,Total_Year_Round_Beds_RRH,Total_Non-DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Total_Year_Round_Beds_DEM,Total_Non-DV_Year_Round_Beds_DEM,Total_HMIS_Year_Round_Beds_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_DEM,Total_Units_for_Households_with_Children_DEM,Total_Beds_for_Households_with_Children_DEM,Total_Beds_for_Households_without_Children_DEM,Total_Beds_for_Households_with_only_Children_DEM,Total_Year_Round_Beds_PSH,Total_Non-DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Total_Year_Round_Beds_OPH,Total_Non-DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH
MO-606,1989,995,500,0.2514,1502,479,8,272,846,1096,47,582,342,0.2277,54,27,205,617,842,43,419,150,0.3132,67,229,246,4,8,8,1,0,0,8,0,362,359,358,0.989,52,167,195,0,362,359,358,0.989,52,167,195,0,0,0,0,.,0,0,0,0,1398,1398,1106,0.7911,259,808,590,0,0,0,0,.,0,0,0,0
MS-500,515,427,337,0.6544,175,340,0,40,233,259,23,160,152,0.8686,50,7,3,47,116,12,267,185,0.5441,37,186,143,11,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,74,74,53,0.7162,11,48,26,0,0,0,0,.,0,0,0,0
MS-501,849,590,444,0.523,465,384,0,140,464,377,8,226,173,0.372,0,22,77,260,197,8,364,271,0.7057,63,204,180,0,0,0,.,0,0,0,0,200,200,200,1,32,117,83,0,200,200,200,1,32,117,83,0,0,0,0,.,0,0,0,0,184,184,132,0.7174,17,56,128,0,0,0,0,.,0,0,0,0
MS-503,134,98,93,0.694,89,45,0,27,68,66,0,76,71,0.7978,45,0,15,35,54,0,22,22,0.4889,12,33,12,0,0,0,.,0,0,0,0,62,62,62,1,7,26,36,0,62,62,62,1,7,26,36,0,0,0,0,.,0,0,0,0,56,46,46,0.8214,10,17,39,0,0,0,0,.,0,0,0,0
MT-500,1224,949,387,0.3162,761,463,0,252,649,567,8,591,144,0.1892,43,116,114,365,395,1,358,243,0.5248,138,284,172,7,0,0,.,0,0,0,0,50,50,50,1,15,22,28,0,50,50,50,1,15,22,28,0,0,0,0,.,0,0,0,0,550,550,315,0.5727,141,243,307,0,23,23,23,1,3,6,17,0
NC-500,477,442,322,0.6751,351,126,0,36,146,329,2,322,254,0.7236,96,0,23,109,240,2,120,68,0.5397,13,37,89,0,0,0,.,0,0,0,0,103,103,103,1,17,43,60,0,103,103,103,1,17,43,60,0,0,0,0,.,0,0,0,0,494,494,252,0.5101,73,232,262,0,0,0,0,.,0,0,0,0
NC-501,474,454,320,0.6751,217,257,0,25,73,401,0,197,68,0.3134,56,46,17,49,168,0,257,252,0.9805,8,24,233,0,0,0,.,0,0,0,0,64,64,64,1,10,30,34,0,64,64,64,1,10,30,34,0,0,0,0,.,0,0,0,0,629,629,629,1,23,62,567,0,0,0,0,.,0,0,0,0
NC-502,828,811,278,0.3357,453,375,0,57,216,612,0,436,172,0.3797,0,28,27,97,356,0,375,106,0.2827,30,119,256,0,0,0,.,0,0,0,0,54,54,54,1,10,40,14,0,54,54,54,1,10,40,14,0,0,0,0,.,0,0,0,0,320,320,246,0.7688,37,130,190,0,0,0,0,.,0,0,0,0
NC-503,3425,2474,1633,0.4768,2594,831,0,409,1606,1808,11,1701,1122,0.4325,73,59,269,1137,1448,9,773,511,0.6149,140,469,360,2,0,0,.,0,0,0,0,236,211,211,0.8941,52,186,50,0,236,211,211,0.8941,52,186,50,0,0,0,0,.,0,0,0,0,1490,1490,1394,0.9356,278,875,615,0,0,0,0,.,0,0,0,0
NC-504,601,562,474,0.7887,347,254,0,62,178,414,9,347,347,1,81,22,28,86,252,9,215,127,0.5,34,92,162,0,0,0,.,0,0,0,0,12,12,12,1,2,5,7,0,12,12,12,1,2,5,7,0,0,0,0,.,0,0,0,0,541,541,430,0.7948,109,343,198,0,0,0,0,.,0,0,0,0
NC-505,1551,1471,1392,0.8975,830,721,0,140,692,847,12,750,738,0.8892,134,239,50,320,501,9,721,654,0.9071,90,372,346,3,0,0,.,0,0,0,0,726,726,726,1,208,627,99,0,726,726,726,1,208,627,99,0,0,0,0,.,0,0,0,0,975,975,625,0.641,102,315,660,0,0,0,0,.,0,0,0,0
NC-506,447,393,270,0.604,325,122,0,43,150,288,9,271,234,0.72,0,20,29,96,220,9,122,36,0.2951,14,54,68,0,0,0,.,0,0,0,0,2,2,2,1,0,0,2,0,2,2,2,1,0,0,2,0,0,0,0,.,0,0,0,0,149,149,84,0.5638,6,18,131,0,0,0,0,.,0,0,0,0
NC-507,772,727,635,0.8225,521,251,0,105,333,433,6,476,384,0.737,100,0,56,204,311,6,251,251,1,49,129,122,0,0,0,.,0,0,0,0,50,50,49,0.98,16,38,12,0,50,50,49,0.98,16,38,12,0,0,0,0,.,0,0,0,0,975,975,704,0.7221,156,414,561,0,0,0,0,.,0,0,0,0
NC-509,257,192,132,0.5136,189,68,0,30,111,131,15,124,94,0.4974,43,18,23,95,79,15,68,38,0.5588,7,16,52,0,0,0,.,0,0,0,0,56,56,0,0,23,54,2,0,56,56,0,0,23,54,2,0,0,0,0,.,0,0,0,0,241,228,228,0.9461,50,93,148,0,0,0,0,.,0,0,0,0
NC-511,282,229,199,0.7057,75,207,0,63,165,117,0,58,58,0.7733,0,11,15,23,52,0,171,141,0.6812,48,142,65,0,0,0,.,0,0,0,0,34,34,34,1,4,14,20,0,34,34,34,1,4,14,20,0,0,0,0,.,0,0,0,0,296,296,227,0.7669,52,189,107,0,0,0,0,.,0,0,0,0
NC-513,94,94,94,1,64,30,0,10,30,64,0,64,64,1,0,22,0,0,64,0,30,30,1,10,30,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,97,97,97,1,22,57,40,0,0,0,0,.,0,0,0,0
NC-516,129,65,54,0.4186,96,33,0,24,52,77,0,36,25,0.2604,17,6,19,34,62,0,29,29,0.8788,5,18,15,0,0,0,.,0,0,0,0,3,3,3,1,1,3,0,0,3,3,3,1,1,3,0,0,0,0,0,.,0,0,0,0,43,38,37,0.8605,6,13,30,0,0,0,0,.,0,0,0,0
ND-500,966,731,713,0.7381,770,196,0,152,442,524,0,582,580,0.7532,0,69,130,349,421,0,149,133,0.6786,22,93,103,0,0,0,.,0,0,0,0,16,16,16,1,0,0,16,0,16,16,16,1,0,0,16,0,0,0,0,.,0,0,0,0,746,746,610,0.8177,90,219,527,0,0,0,0,.,0,0,0,0
NE-500,762,621,368,0.4829,367,395,0,148,471,269,22,246,138,0.376,0,9,60,207,142,18,375,230,0.5823,88,264,127,4,0,0,.,0,0,0,0,188,188,188,1,46,149,39,0,188,188,188,1,46,149,39,0,0,0,0,.,0,0,0,0,94,94,81,0.8617,21,50,44,0,22,22,22,1,5,11,11,0
NE-501,1395,1318,825,0.5914,875,520,0,143,500,889,6,809,522,0.5966,0,249,71,264,605,6,509,303,0.5827,72,236,284,0,0,0,.,0,0,0,0,165,165,165,1,32,110,55,0,165,165,165,1,32,110,55,0,0,0,0,.,0,0,0,0,851,851,479,0.5629,101,320,531,0,84,84,0,0,17,45,39,0
NE-502,816,770,761,0.9326,317,499,0,110,367,411,38,291,291,0.918,51,0,31,123,174,20,479,470,0.9419,79,244,237,18,0,0,.,0,0,0,0,64,26,26,0.4063,12,32,32,0,64,26,26,0.4063,12,32,32,0,0,0,0,.,0,0,0,0,79,79,77,0.9747,5,12,67,0,75,75,49,0.6533,32,59,16,0
NH-500,671,554,487,0.7258,467,204,0,126,400,263,8,350,330,0.7066,119,8,79,244,215,8,204,157,0.7696,47,156,48,0,0,0,.,0,0,0,0,46,46,46,1,13,42,4,0,46,46,46,1,13,42,4,0,0,0,0,.,0,0,0,0,432,432,296,0.6852,68,197,235,0,0,0,0,.,0,0,0,0
NH-501,374,363,363,0.9706,155,215,4,79,196,170,8,144,144,0.929,0,8,22,53,94,8,215,215,1,57,143,72,0,4,4,1,0,0,4,0,55,55,55,1,16,43,12,0,55,55,55,1,16,43,12,0,0,0,0,.,0,0,0,0,381,381,250,0.6562,74,221,160,0,0,0,0,.,0,0,0,0
NH-502,324,286,232,0.716,126,193,5,70,170,154,0,88,60,0.4762,0,0,21,54,72,0,193,167,0.8653,49,116,77,0,5,5,1,0,0,5,0,15,15,15,1,2,5,10,0,15,15,15,1,2,5,10,0,0,0,0,.,0,0,0,0,297,297,201,0.6768,42,117,180,0,0,0,0,.,0,0,0,0
NJ-500,357,339,339,0.9496,309,48,0,23,71,286,0,291,291,0.9417,0,198,23,71,238,0,48,48,1,0,0,48,0,0,0,.,0,0,0,0,18,18,18,1,3,7,11,0,18,18,18,1,3,7,11,0,0,0,0,.,0,0,0,0,120,120,57,0.475,6,12,108,0,33,33,33,1,0,0,33,0
NJ-501,368,292,292,0.7935,156,212,0,54,176,176,16,120,120,0.7692,15,19,17,43,97,16,172,172,0.8113,37,133,79,0,0,0,.,0,0,0,0,34,34,34,1,3,8,26,0,34,34,34,1,3,8,26,0,0,0,0,.,0,0,0,0,599,599,532,0.8881,80,201,398,0,0,0,0,.,0,0,0,0
NJ-502,569,542,473,0.8313,531,38,0,114,437,132,0,504,435,0.8192,28,774,110,409,122,0,38,38,1,4,28,10,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,131,131,131,1,19,74,57,0,0,0,0,.,0,0,0,0
NJ-503,769,666,626,0.814,363,406,0,128,381,384,4,296,282,0.7769,0,400,81,211,148,4,370,344,0.8473,47,170,236,0,0,0,.,0,0,0,0,87,87,87,1,12,40,47,0,87,87,87,1,12,40,47,0,0,0,0,.,0,0,0,0,721,706,310,0.43,115,259,462,0,0,0,0,.,0,0,0,0
NJ-504,1912,1897,1890,0.9885,1155,757,0,321,881,1007,24,1140,1133,0.981,0,52,194,416,739,0,757,757,1,127,465,268,24,0,0,.,0,0,0,0,452,452,447,0.9889,74,75,377,0,452,452,447,0.9889,74,75,377,0,0,0,0,.,0,0,0,0,901,901,901,1,121,453,448,0,0,0,0,.,0,0,0,0
NJ-506,495,486,485,0.9798,244,251,0,69,180,315,0,235,235,0.9631,98,288,25,74,170,0,251,250,0.996,44,106,145,0,0,0,.,0,0,0,0,152,152,149,0.9803,21,72,80,0,152,152,149,0.9803,21,72,80,0,0,0,0,.,0,0,0,0,338,338,307,0.9083,28,85,253,0,0,0,0,.,0,0,0,0
NJ-507,370,346,316,0.8541,162,208,0,77,223,147,0,138,138,0.8519,45,210,37,105,57,0,208,178,0.8558,40,118,90,0,0,0,.,0,0,0,0,73,73,72,0.9863,17,54,19,0,73,73,72,0.9863,17,54,19,0,0,0,0,.,0,0,0,0,311,300,149,0.4791,54,159,152,0,0,0,0,.,0,0,0,0
NJ-508,267,209,191,0.7154,90,177,0,61,188,79,0,65,65,0.7222,14,210,12,39,51,0,144,126,0.7119,49,149,28,0,0,0,.,0,0,0,0,36,36,32,0.8889,10,29,7,0,36,36,32,0.8889,10,29,7,0,0,0,0,.,0,0,0,0,306,306,240,0.7843,36,97,209,0,0,0,0,.,0,0,0,0
NJ-509,293,221,221,0.7543,132,141,20,49,137,156,0,99,99,0.75,0,98,24,73,59,0,102,102,0.7234,25,64,77,0,20,20,1,0,0,20,0,20,20,20,1,1,3,17,0,20,20,20,1,1,3,17,0,0,0,0,.,0,0,0,0,130,130,75,0.5769,9,31,99,0,119,119,119,1,34,103,16,0
NJ-510,115,49,12,0.1043,64,51,0,30,87,28,0,37,0,0,0,533,14,49,15,0,12,12,0.2353,16,38,13,0,0,0,.,0,0,0,0,2,2,0,0,0,0,2,0,2,2,0,0,0,0,2,0,0,0,0,.,0,0,0,0,134,134,94,0.7015,25,85,49,0,0,0,0,.,0,0,0,0
NJ-511,542,341,276,0.5092,491,51,0,108,309,233,0,307,242,0.4929,0,48,96,269,222,0,34,34,0.6667,12,40,11,0,0,0,.,0,0,0,0,86,86,86,1,13,48,38,0,86,86,86,1,13,48,38,0,0,0,0,.,0,0,0,0,673,673,629,0.9346,44,132,541,0,0,0,0,.,0,0,0,0
NJ-512,57,57,44,0.7719,27,30,0,20,38,19,0,27,14,0.5185,0,0,5,14,13,0,30,30,1,15,24,6,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,75,75,0,0,0,0,75,0,0,0,0,.,0,0,0,0
NJ-513,379,353,209,0.5515,190,189,0,41,106,257,16,175,76,0.4,0,35,24,63,111,16,178,133,0.7037,17,43,146,0,0,0,.,0,0,0,0,25,25,25,1,2,5,20,0,25,25,25,1,2,5,20,0,0,0,0,.,0,0,0,0,250,250,103,0.412,16,51,199,0,0,0,0,.,0,0,0,0
NJ-514,529,481,453,0.8563,284,245,0,74,199,318,12,260,260,0.9155,0,125,47,143,129,12,221,193,0.7878,27,56,189,0,0,0,.,0,0,0,0,94,94,94,1,23,77,17,0,51,51,51,1,12,34,17,0,43,43,43,1,11,43,0,0,680,680,622,0.9147,103,283,397,0,0,0,0,.,0,0,0,0
NJ-515,442,406,367,0.8303,266,176,0,117,304,133,5,245,245,0.9211,17,59,67,142,119,5,161,122,0.6932,50,162,14,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,452,422,422,0.9336,117,263,189,0,0,0,0,.,0,0,0,0
NJ-516,273,178,169,0.619,154,119,0,75,180,93,0,108,108,0.7013,0,79,54,123,31,0,70,61,0.5126,21,57,62,0,0,0,.,0,0,0,0,122,122,122,1,37,115,7,0,122,122,122,1,37,115,7,0,0,0,0,.,0,0,0,0,118,95,76,0.6441,23,58,60,0,0,0,0,.,0,0,0,0
NM-500,898,705,459,0.5111,378,520,0,153,427,437,34,303,172,0.455,315,27,38,112,234,32,402,287,0.5519,115,315,203,2,0,0,.,0,0,0,0,144,135,135,0.9375,30,93,51,0,144,135,135,0.9375,30,93,51,0,0,0,0,.,0,0,0,0,1234,1234,589,0.4773,130,317,917,0,0,0,0,.,0,0,0,0
NM-501,1379,757,440,0.3191,887,492,0,199,881,402,96,445,177,0.1995,110,27,89,514,335,38,312,263,0.5346,110,367,67,58,0,0,.,0,0,0,0,192,192,173,0.901,38,107,85,0,192,192,173,0.901,38,107,85,0,0,0,0,.,0,0,0,0,815,815,631,0.7742,166,397,418,0,0,0,0,.,0,0,0,0
NV-500,3303,3180,3168,0.9591,2244,1034,25,206,679,2601,23,2121,2121,0.9452,328,302,167,520,1711,13,1034,1022,0.9884,39,159,865,10,25,25,1,0,0,25,0,447,447,447,1,89,288,159,0,447,447,447,1,89,288,159,0,0,0,0,.,0,0,0,0,1942,1942,1492,0.7683,227,553,1389,0,0,0,0,.,0,0,0,0
NV-501,927,867,560,0.6041,526,401,0,100,162,748,17,487,422,0.8023,0,0,87,141,375,10,387,138,0.3441,13,21,373,7,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,479,479,161,0.3361,60,134,345,0,0,0,0,.,0,0,0,0
NV-502,236,149,139,0.589,134,102,0,77,188,48,0,62,62,0.4627,0,7,25,100,34,0,87,77,0.7549,52,88,14,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,166,166,85,0.512,22,81,85,0,56,56,20,0.3571,0,0,56,0
NY-500,740,700,596,0.8054,495,231,14,134,366,353,21,455,351,0.7091,7,12,83,236,244,15,231,231,1,51,130,95,6,14,14,1,0,0,14,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,1799,1799,1641,0.9122,315,934,859,6,0,0,0,.,0,0,0,0
NY-501,561,519,399,0.7112,107,454,0,101,261,299,1,93,19,0.1776,0,0,38,61,46,0,426,380,0.837,63,200,253,1,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,608,608,571,0.9391,71,207,400,1,0,0,0,.,0,0,0,0
NY-502,95,42,42,0.4421,54,41,0,17,50,45,0,18,18,0.3333,0,0,7,19,35,0,24,24,0.5854,10,31,10,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,67,40,40,0.597,14,46,21,0,0,0,0,.,0,0,0,0
NY-503,453,423,282,0.6225,314,139,0,52,134,282,37,284,164,0.5223,38,127,31,91,210,13,139,118,0.8489,21,43,72,24,0,0,.,0,0,0,0,42,21,18,0.4286,7,21,21,0,42,21,18,0.4286,7,21,21,0,0,0,0,.,0,0,0,0,936,936,765,0.8173,158,459,477,0,0,0,0,.,0,0,0,0
NY-504,56,48,17,0.3036,39,17,0,16,39,17,0,31,0,0,0,2,8,24,15,0,17,17,1,8,15,2,0,0,0,.,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,.,0,0,0,0,50,50,45,0.9,14,28,22,0,40,40,22,0.55,0,0,40,0
NY-505,774,720,714,0.9225,498,276,0,49,155,578,41,444,438,0.8795,0,133,30,106,375,17,276,276,1,19,49,203,24,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,1200,1200,1178,0.9817,171,458,742,0,70,70,70,1,4,8,62,0
NY-507,213,186,36,0.169,169,44,0,20,53,151,9,142,15,0.0888,0,142,12,29,131,9,44,21,0.4773,8,24,20,0,0,0,.,0,0,0,0,30,30,30,1,4,18,12,0,30,30,30,1,4,18,12,0,0,0,0,.,0,0,0,0,392,392,363,0.926,59,180,212,0,0,0,0,.,0,0,0,0
NY-508,1046,909,724,0.6922,536,494,16,148,453,561,32,467,371,0.6922,75,0,67,212,299,25,426,337,0.6822,81,241,246,7,16,16,1,0,0,16,0,54,54,54,1,11,35,19,0,54,54,54,1,11,35,19,0,0,0,0,.,0,0,0,0,1176,1176,802,0.682,50,162,1014,0,29,29,0,0,9,29,0,0
NY-510,75,66,66,0.88,44,31,0,20,49,23,3,35,35,0.7955,0,10,12,29,15,0,31,31,1,8,20,8,3,0,0,.,0,0,0,0,7,7,7,1,2,4,3,0,7,7,7,1,2,4,3,0,0,0,0,.,0,0,0,0,45,45,45,1,5,10,35,0,47,47,41,0.8723,6,22,25,0
NY-511,292,248,205,0.7021,128,164,0,36,83,209,0,84,66,0.5156,0,10,27,50,78,0,164,139,0.8476,9,33,131,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,272,272,233,0.8566,29,63,209,0,47,47,47,1,16,35,12,0
NY-512,126,85,85,0.6746,97,29,0,29,80,46,0,64,64,0.6598,10,20,20,57,40,0,21,21,0.7241,9,23,6,0,0,0,.,0,0,0,0,4,4,3,0.75,1,3,1,0,4,4,3,0.75,1,3,1,0,0,0,0,.,0,0,0,0,602,566,544,0.9037,88,292,310,0,0,0,0,.,0,0,0,0
NY-513,205,205,95,0.4634,35,155,15,4,8,197,0,35,1,0.0286,0,0,0,0,35,0,155,79,0.5097,4,8,147,0,15,15,1,0,0,15,0,7,7,7,1,0,0,7,0,7,7,7,1,0,0,7,0,0,0,0,.,0,0,0,0,82,82,78,0.9512,14,36,46,0,0,0,0,.,0,0,0,0
NY-514,105,92,48,0.4571,79,26,0,12,33,60,12,66,36,0.4557,0,0,9,26,41,12,26,12,0.4615,3,7,19,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,37,37,37,1,8,21,16,0,0,0,0,.,0,0,0,0
NY-516,151,142,8,0.053,151,0,0,17,66,85,0,142,8,0.053,0,0,17,66,85,0,0,0,.,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,76,76,6,0.0789,15,44,32,0,0,0,0,.,0,0,0,0
NY-518,172,110,66,0.3837,115,57,0,42,82,90,0,87,46,0.4,0,9,22,45,70,0,23,20,0.3509,20,37,20,0,0,0,.,0,0,0,0,9,9,7,0.7778,2,4,5,0,9,9,7,0.7778,2,4,5,0,0,0,0,.,0,0,0,0,526,526,454,0.8631,82,204,322,0,0,0,0,.,0,0,0,0
NY-519,37,0,0,0,25,12,0,14,37,0,0,0,0,0,0,73,10,25,0,0,0,0,0,4,12,0,0,0,0,.,0,0,0,0,2,2,2,1,0,0,2,0,2,2,2,1,0,0,2,0,0,0,0,.,0,0,0,0,76,64,50,0.6579,18,45,31,0,0,0,0,.,0,0,0,0
NY-520,21,21,3,0.1429,21,0,0,1,3,18,0,21,3,0.1429,0,16,1,3,18,0,0,0,.,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,83,83,78,0.9398,39,81,2,0,0,0,0,.,0,0,0,0
NY-522,80,44,44,0.55,36,44,0,3,32,48,0,0,0,0,0,26,3,32,4,0,44,44,1,0,0,44,0,0,0,.,0,0,0,0,34,34,5,0.1471,11,29,5,0,34,34,5,0.1471,11,29,5,0,0,0,0,.,0,0,0,0,563,563,289,0.5133,115,333,230,0,0,0,0,.,0,0,0,0
NY-523,116,98,92,0.7931,78,38,0,7,16,70,30,60,54,0.6923,0,199,7,16,46,16,38,38,1,0,0,24,14,0,0,.,0,0,0,0,48,21,21,0.4375,9,28,20,0,48,21,21,0.4375,9,28,20,0,0,0,0,.,0,0,0,0,249,239,143,0.5743,49,116,133,0,0,0,0,.,0,0,0,0
NY-600,75068,72308,65813,0.8767,69927,4979,162,13842,47992,27076,0,67828,61936,0.8857,0,0,13463,46868,23059,0,4318,3715,0.7461,379,1124,3855,0,162,162,1,0,0,162,0,2506,2506,0,0,610,2232,274,0,2506,2506,0,0,610,2232,274,0,0,0,0,.,0,0,0,0,26722,26309,14159,0.5299,1957,5607,21115,0,0,0,0,.,0,0,0,0
NY-601,430,348,210,0.4884,229,201,0,99,238,179,13,187,121,0.5284,0,0,57,129,88,12,162,89,0.4428,42,109,91,1,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,163,163,7,0.0429,29,73,90,0,0,0,0,.,0,0,0,0
NY-602,249,232,188,0.755,201,48,0,49,112,124,13,184,140,0.6965,39,85,33,74,114,13,48,48,1,16,38,10,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,280,280,252,0.9,46,146,134,0,19,19,19,1,6,19,0,0
NY-603,2991,2860,1538,0.5142,2443,548,0,690,2281,703,7,2369,1085,0.4441,93,900,582,1954,482,7,491,453,0.8266,108,327,221,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,2351,2326,1705,0.7252,385,1365,986,0,0,0,0,.,0,0,0,0
NY-604,2250,2160,2088,0.928,1017,1233,0,492,1519,714,17,927,860,0.8456,21,45,159,520,483,14,1233,1228,0.9959,333,999,231,3,0,0,.,0,0,0,0,311,311,311,1,118,311,0,0,311,311,311,1,118,311,0,0,0,0,0,.,0,0,0,0,1304,1304,1012,0.7761,168,429,875,0,335,335,0,0,92,289,46,0
NY-606,146,107,40,0.274,92,54,0,20,77,69,0,77,40,0.4348,50,0,17,53,39,0,30,0,0,3,24,30,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,108,108,102,0.9444,24,81,27,0,0,0,0,.,0,0,0,0
NY-607,19,10,10,0.5263,10,0,9,0,0,19,0,10,10,1,0,118,0,0,10,0,0,0,.,0,0,0,0,0,0,0,0,0,9,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,54,54,54,1,9,18,36,0,0,0,0,.,0,0,0,0
NY-608,107,90,90,0.8411,77,30,0,9,38,51,18,60,60,0.7792,0,184,9,38,25,14,30,30,1,0,0,26,4,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,150,150,150,1,35,77,73,0,15,15,15,1,6,15,0,0
OH-500,942,809,809,0.8588,610,332,0,85,276,646,20,538,538,0.882,100,76,66,211,379,20,271,271,0.8163,19,65,267,0,0,0,.,0,0,0,0,1061,1020,1020,0.9614,200,703,358,0,974,933,933,0.9579,180,616,358,0,87,87,87,1,20,87,0,0,2347,2347,2075,0.8841,237,856,1419,72,0,0,0,.,0,0,0,0
OH-501,739,667,326,0.4411,568,159,12,103,263,476,0,540,199,0.3504,35,18,83,215,353,0,115,115,0.7233,20,48,111,0,12,12,1,0,0,12,0,385,385,385,1,118,364,21,0,385,385,385,1,118,364,21,0,0,0,0,.,0,0,0,0,1192,1192,1045,0.8767,166,494,698,0,0,0,0,.,0,0,0,0
