CoC_Number,CoC_Name,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Overall_Homeless_Individuals,Sheltered_ES_Homeless_Individuals,Sheltered_TH_Homeless_Individuals,Sheltered_Total_Homeless_Individuals,Unsheltered_Homeless_Individuals,Overall_Homeless_People_in_Families,Sheltered_ES_Homeless_People_in_Families,Sheltered_TH_Homeless_People_in_Families,Sheltered_Total_Homeless_People_in_Families,Unsheltered_Homeless_People_in_Families,Overall_Homeless_Family_Households,Sheltered_ES_Homeless_Family_Households,Sheltered_TH_Homeless_Family_Households,Sheltered_Total_Homeless_Family_Households,Unsheltered_Homeless_Family_Households,Overall_Chronically_Homeless_Individuals,Sheltered_Total_Chronically_Homeless_Individuals,Unsheltered_Chronically_Homeless_Individuals
HI-500,Hawaii Balance of State CoC,2311,385,361,746,1565,1236,151,186,337,899,1075,234,175,409,666,296,72,49,121,175,553,18,535
HI-501,Honolulu City and County CoC,3750,729,1228,1957,1793,2090,344,410,754,1336,1660,385,818,1203,457,438,115,208,323,115,225,114,111
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",271,107,153,260,11,127,82,34,116,11,144,25,119,144,0,47,6,41,47,0,55,55,0
IA-501,Iowa Balance of State CoC,1950,585,1239,1824,126,766,348,328,676,90,1184,237,911,1148,36,385,78,292,370,15,86,75,11
IA-502,Des Moines/Polk County CoC,1125,326,677,1003,122,716,241,388,629,87,409,85,289,374,35,126,25,91,116,10,136,95,41
ID-500,Boise/Ada County CoC,611,389,164,553,58,420,341,21,362,58,191,48,143,191,0,62,17,45,62,0,10,0,10
ID-501,Idaho Balance of State CoC,853,241,456,697,156,397,136,159,295,102,456,105,297,402,54,166,38,106,144,22,36,11,25
IL-500,McHenry County CoC,199,54,141,195,4,122,49,69,118,4,77,5,72,77,0,24,2,22,24,0,41,37,4
IL-501,"Rockford/DeKalb, Winnebago, Boone Counties CoC",705,313,318,631,74,381,208,116,324,57,324,105,202,307,17,114,26,82,108,6,149,99,50
IL-502,"Waukegan, North Chicago/Lake County CoC",439,227,203,430,9,221,110,102,212,9,218,117,101,218,0,73,41,32,73,0,48,45,3
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",429,236,180,416,13,158,136,20,156,2,271,100,160,260,11,102,35,63,98,4,59,57,2
IL-504,Madison County CoC,214,87,102,189,25,69,44,4,48,21,145,43,98,141,4,44,14,29,43,1,3,0,3
