CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Total_Non_DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Total_Non_DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Total_Year_Round_Beds_RRH_AND_DEM,Total_Non_DV_Year_Round_Beds_RRH_AND_DEM,Total_HMIS_Year_Round_Beds_RRH_AND_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_RRH_AND_DEM,Total_Units_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_without_Children_RRH_AND_DEM,Total_Beds_for_Households_with_only_Children_RRH_AND_DEM,Total_Year_Round_Beds_RRH,Total_Non_DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Total_Year_Round_Beds_DEM,Total_Non_DV_Year_Round_Beds_DEM,Total_HMIS_Year_Round_Beds_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_DEM,Total_Units_for_Households_with_Children_DEM,Total_Beds_for_Households_with_Children_DEM,Total_Beds_for_Households_without_Children_DEM,Total_Beds_for_Households_with_only_Children_DEM,Total_Year_Round_Beds_PSH,Total_Non_DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Total_Year_Round_Beds_OPH,Total_Non_DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH
AK-500,1007,933,827,0.8213,553,454,0,109,344,655,8,501,431,0.7794,179,2,41,147,398,8,432,396,0.8722,68,197,257,0,0,0,.,0,0,0,0,55,41,41,0.7455,17,48,7,0,55,41,41,0.7455,17,48,7,0,0,0,0,.,0,0,0,0,434,434,289,0.6659,40,84,350,0,97,97,97,1,0,0,97,0
AK-501,819,535,422,0.5153,542,277,0,76,289,511,19,308,270,0.4982,24,15,46,183,340,19,227,152,0.5487,30,106,171,0,0,0,.,0,0,0,0,17,17,17,1,3,9,8,0,17,17,17,1,3,9,8,0,0,0,0,.,0,0,0,0,219,201,96,0.4384,21,25,194,0,33,33,33,1,8,28,5,0
AL-500,1113,1029,885,0.7951,493,586,34,124,380,715,18,433,404,0.8195,0,35,38,100,375,18,562,447,0.7628,86,280,306,0,34,34,1,0,0,34,0,374,374,369,0.9866,34,111,263,0,374,374,369,0.9866,34,111,263,0,0,0,0,.,0,0,0,0,1492,1492,900,0.6032,300,772,720,0,93,93,93,1,4,12,81,0
AL-501,476,391,355,0.7458,354,122,0,73,180,296,0,302,268,0.7571,0,43,48,118,236,0,89,87,0.7131,25,62,60,0,0,0,.,0,0,0,0,467,467,173,0.3704,96,335,132,0,467,467,173,0.3704,96,335,132,0,0,0,0,.,0,0,0,0,504,504,459,0.9107,84,306,198,0,0,0,0,.,0,0,0,0
AL-502,237,157,0,0,41,196,0,38,141,96,0,41,0,0,76,0,4,19,22,0,116,0,0,34,122,74,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,36,36,6,0.1667,0,0,36,0,20,20,0,0,0,0,20,0
AL-503,466,411,151,0.324,432,34,0,46,149,309,8,382,129,0.2986,0,2,35,129,295,8,29,22,0.6471,11,20,14,0,0,0,.,0,0,0,0,39,39,39,1,4,10,29,0,39,39,39,1,4,10,29,0,0,0,0,.,0,0,0,0,278,278,128,0.4604,15,50,228,0,0,0,0,.,0,0,0,0
AL-504,422,358,343,0.8128,258,164,0,52,138,284,0,248,233,0.9031,0,0,25,57,201,0,110,110,0.6707,27,81,83,0,0,0,.,0,0,0,0,47,47,47,1,9,35,12,0,47,47,47,1,9,35,12,0,0,0,0,.,0,0,0,0,514,514,249,0.4844,54,173,341,0,0,0,0,.,0,0,0,0
AL-505,178,145,132,0.7416,112,66,0,14,58,104,16,89,88,0.7857,0,6,11,43,68,1,56,44,0.6667,3,15,36,15,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
AL-506,98,50,18,0.1837,16,82,0,15,54,44,0,0,0,0,0,0,5,6,10,0,50,18,0.2195,10,48,34,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,290,290,290,1,0,0,290,0,0,0,0,.,0,0,0,0
AL-507,499,411,47,0.0942,206,293,0,40,118,371,10,118,4,0.0194,0,7,33,92,109,5,293,43,0.1468,7,26,262,5,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,280,280,142,0.5071,19,38,241,1,0,0,0,.,0,0,0,0
AR-500,707,566,380,0.5375,439,268,0,59,205,502,0,338,186,0.4237,0,120,31,133,306,0,228,194,0.7239,28,72,196,0,0,0,.,0,0,0,0,107,107,107,1,6,21,86,0,107,107,107,1,6,21,86,0,0,0,0,.,0,0,0,0,930,930,547,0.5882,112,311,619,0,36,30,30,0.8333,3,11,25,0
AR-501,463,388,222,0.4795,243,220,0,38,177,248,38,168,132,0.5432,74,0,16,76,167,0,220,90,0.4091,22,101,81,38,0,0,.,0,0,0,0,64,64,64,1,24,40,24,0,39,39,39,1,15,15,24,0,25,25,25,1,9,25,0,0,164,164,8,0.0488,33,58,106,0,0,0,0,.,0,0,0,0
AR-503,600,450,295,0.4917,509,91,0,44,234,366,0,359,247,0.4853,0,31,35,209,300,0,91,48,0.5275,9,25,66,0,0,0,.,0,0,0,0,108,108,108,1,21,72,36,0,108,108,108,1,21,72,36,0,0,0,0,.,0,0,0,0,39,39,39,1,5,18,21,0,0,0,0,.,0,0,0,0
AR-504,178,89,10,0.0562,154,24,0,88,168,0,10,65,10,0.0649,0,8,75,144,0,10,24,0,0,13,24,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
AR-505,223,115,0,0,199,24,0,35,92,107,24,103,0,0,0,0,25,80,95,24,12,0,0,10,12,12,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,16,16,0,0,4,4,12,0,0,0,0,.,0,0,0,0
AR-508,178,138,0,0,154,24,0,22,59,119,0,114,0,0,0,0,21,50,104,0,24,0,0,1,9,15,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
AR-512,45,12,0,0,33,12,0,12,40,5,0,0,0,0,0,1,9,28,5,0,12,0,0,3,12,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
AZ-500,1058,735,563,0.5321,780,278,0,133,485,545,28,483,367,0.4705,0,130,85,307,450,23,252,196,0.705,48,178,95,5,0,0,.,0,0,0,0,486,486,486,1,67,204,282,0,486,486,486,1,67,204,282,0,0,0,0,.,0,0,0,0,1106,1106,527,0.4765,184,547,559,0,114,114,114,1,5,11,103,0
AZ-501,1829,1755,1717,0.9388,782,1032,15,239,779,1024,26,729,691,0.8836,130,69,77,252,520,10,1011,1011,0.9797,162,527,489,16,15,15,1,0,0,15,0,525,490,490,0.9333,131,435,90,0,525,490,490,0.9333,131,435,90,0,0,0,0,.,0,0,0,0,1798,1798,1058,0.5884,194,616,1182,0,0,0,0,.,0,0,0,0
AZ-502,4055,3423,3123,0.7702,2360,1670,25,625,2079,1915,61,1920,1725,0.7309,0,2,283,933,1383,44,1478,1373,0.8222,342,1146,507,17,25,25,1,0,0,25,0,891,891,891,1,201,637,254,0,891,891,891,1,201,637,254,0,0,0,0,.,0,0,0,0,4600,4600,3521,0.7654,418,1362,3238,0,1206,1206,1206,1,225,990,216,0
CA-500,1859,1811,1757,0.9451,623,1226,10,218,728,1118,13,575,574,0.9213,294,0,59,174,436,13,1226,1173,0.9568,159,554,672,0,10,10,1,0,0,10,0,358,358,358,1,102,207,151,0,358,358,358,1,102,207,151,0,0,0,0,.,0,0,0,0,2822,2641,1797,0.6368,422,1310,1512,0,0,0,0,.,0,0,0,0
CA-501,2644,2517,1996,0.7549,2146,479,19,222,655,1964,25,2065,1612,0.7512,167,0,133,424,1697,25,433,384,0.8017,89,231,248,0,19,0,0,0,0,19,0,774,774,367,0.4742,191,774,0,0,774,774,367,0.4742,191,774,0,0,0,0,0,.,0,0,0,0,7599,7534,6287,0.8273,717,1912,5687,0,0,0,0,.,0,0,0,0
CA-502,1803,1551,1323,0.7338,874,929,0,265,836,959,8,678,500,0.5721,55,36,90,396,470,8,873,823,0.8859,175,440,489,0,0,0,.,0,0,0,0,387,387,387,1,78,240,147,0,387,387,387,1,78,240,147,0,0,0,0,.,0,0,0,0,2585,2553,1851,0.7161,359,958,1627,0,97,97,0,0,0,0,97,0
CA-503,1435,1345,1150,0.8014,700,735,0,192,538,891,6,610,514,0.7343,207,86,103,300,394,6,735,636,0.8653,89,238,497,0,0,0,.,0,0,0,0,101,101,101,1,26,74,27,0,101,101,101,1,26,74,27,0,0,0,0,.,0,0,0,0,2970,2970,2268,0.7636,408,1342,1628,0,0,0,0,.,0,0,0,0
CA-504,1003,941,813,0.8106,594,409,0,119,434,563,6,567,559,0.9411,130,9,49,219,369,6,374,254,0.621,70,215,194,0,0,0,.,0,0,0,0,164,164,164,1,32,164,0,0,164,164,164,1,32,164,0,0,0,0,0,.,0,0,0,0,917,917,643,0.7012,118,439,478,0,0,0,0,.,0,0,0,0
CA-505,591,541,491,0.8308,418,173,0,74,259,326,6,394,344,0.823,66,22,37,134,278,6,147,147,0.8497,37,125,48,0,0,0,.,0,0,0,0,248,248,248,1,62,201,47,0,248,248,248,1,62,201,47,0,0,0,0,.,0,0,0,0,867,867,867,1,127,394,473,0,0,0,0,.,0,0,0,0
CA-506,823,778,555,0.6744,308,515,0,128,414,391,18,263,110,0.3571,207,67,22,95,201,12,515,445,0.8641,106,319,190,6,0,0,.,0,0,0,0,317,317,68,0.2145,88,255,62,0,317,317,68,0.2145,88,255,62,0,0,0,0,.,0,0,0,0,311,311,70,0.2251,23,54,257,0,0,0,0,.,0,0,0,0
CA-507,389,321,303,0.7789,178,211,0,60,178,211,0,160,160,0.8989,60,0,12,41,137,0,161,143,0.6777,48,137,74,0,0,0,.,0,0,0,0,70,70,70,1,6,20,50,0,70,70,70,1,6,20,50,0,0,0,0,.,0,0,0,0,504,504,504,1,23,81,423,0,0,0,0,.,0,0,0,0
CA-508,575,557,503,0.8748,347,228,0,105,327,248,0,329,296,0.853,128,0,54,164,183,0,228,207,0.9079,51,163,65,0,0,0,.,0,0,0,0,167,167,111,0.6647,61,137,30,0,167,167,111,0.6647,61,137,30,0,0,0,0,.,0,0,0,0,457,457,184,0.4026,39,84,373,0,0,0,0,.,0,0,0,0
CA-509,137,115,16,0.1168,73,64,0,15,84,53,0,58,0,0,70,4,6,35,38,0,57,16,0.25,9,49,15,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,370,370,0,0,103,233,137,0,0,0,0,.,0,0,0,0
CA-510,649,626,477,0.735,358,291,0,99,279,321,49,335,326,0.9106,230,0,54,165,144,49,291,151,0.5189,45,114,177,0,0,0,.,0,0,0,0,16,16,7,0.4375,5,6,10,0,16,16,7,0.4375,5,6,10,0,0,0,0,.,0,0,0,0,450,450,349,0.7756,54,160,290,0,0,0,0,.,0,0,0,0
CA-511,1490,1436,1312,0.8805,693,797,0,248,955,525,10,639,605,0.873,0,46,74,323,360,10,797,707,0.8871,174,632,165,0,0,0,.,0,0,0,0,28,28,25,0.8929,3,13,15,0,28,28,25,0.8929,3,13,15,0,0,0,0,.,0,0,0,0,751,751,419,0.5579,82,288,463,0,20,20,20,1,0,0,20,0
CA-512,623,570,560,0.8989,227,396,0,110,368,251,4,199,199,0.8767,0,29,34,113,110,4,371,361,0.9116,76,255,141,0,0,0,.,0,0,0,0,127,115,115,0.9055,22,68,59,0,127,115,115,0.9055,22,68,59,0,0,0,0,.,0,0,0,0,917,894,535,0.5834,83,253,664,0,0,0,0,.,0,0,0,0
CA-513,467,357,323,0.6916,237,230,0,43,195,272,0,180,146,0.616,0,13,26,129,108,0,177,177,0.7696,17,66,164,0,0,0,.,0,0,0,0,180,180,180,1,30,103,77,0,180,180,180,1,30,103,77,0,0,0,0,.,0,0,0,0,217,217,217,1,28,97,120,0,0,0,0,.,0,0,0,0
CA-514,677,485,251,0.3708,412,241,24,110,337,328,12,284,77,0.1869,4,0,66,227,173,12,177,150,0.6224,44,110,131,0,24,24,1,0,0,24,0,157,157,157,1,24,96,61,0,157,157,157,1,24,96,61,0,0,0,0,.,0,0,0,0,1114,1114,534,0.4794,122,402,712,0,0,0,0,.,0,0,0,0
CA-515,530,446,353,0.666,317,213,0,70,285,233,12,239,222,0.7003,0,66,29,120,185,12,207,131,0.615,41,165,48,0,0,0,.,0,0,0,0,42,11,11,0.2619,13,36,6,0,42,11,11,0.2619,13,36,6,0,0,0,0,.,0,0,0,0,251,251,157,0.6255,17,46,205,0,0,0,0,.,0,0,0,0
CA-516,542,453,78,0.1439,324,218,0,71,276,266,0,235,0,0,0,50,33,147,177,0,218,78,0.3578,38,129,89,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,44,44,44,1,0,0,44,0,0,0,0,.,0,0,0,0
CA-517,156,144,120,0.7692,97,59,0,28,82,74,0,85,85,0.8763,50,17,11,35,62,0,59,35,0.5932,17,47,12,0,0,0,.,0,0,0,0,28,28,28,1,6,20,8,0,28,28,28,1,6,20,8,0,0,0,0,.,0,0,0,0,51,51,32,0.6275,2,5,46,0,0,0,0,.,0,0,0,0
CA-518,419,393,339,0.8091,238,181,0,13,213,202,4,225,204,0.8571,50,12,4,125,113,0,168,135,0.7459,9,88,89,4,0,0,.,0,0,0,0,94,94,94,1,64,94,0,0,94,94,94,1,64,94,0,0,0,0,0,.,0,0,0,0,183,183,68,0.3716,20,48,135,0,0,0,0,.,0,0,0,0
CA-519,345,300,277,0.8029,229,116,0,57,191,154,0,201,178,0.7773,1,43,22,93,136,0,99,99,0.8534,35,98,18,0,0,0,.,0,0,0,0,5,5,5,1,5,5,0,0,5,5,5,1,5,5,0,0,0,0,0,.,0,0,0,0,291,291,291,1,44,171,120,0,5,5,5,1,0,0,5,0
CA-520,225,213,141,0.6267,105,120,0,14,42,183,0,93,93,0.8857,0,3,6,20,85,0,120,48,0.4,8,22,98,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,130,130,45,0.3462,13,44,86,0,0,0,0,.,0,0,0,0
CA-521,355,320,203,0.5718,186,169,0,66,233,118,4,151,56,0.3011,25,0,42,131,51,4,169,147,0.8698,24,102,67,0,0,0,.,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,.,0,0,0,0,72,72,36,0.5,6,16,56,0,35,35,0,0,0,0,35,0
CA-522,243,243,243,1,97,146,0,35,118,108,17,97,97,1,48,0,9,25,67,5,146,146,1,26,93,41,12,0,0,.,0,0,0,0,7,7,7,1,7,7,0,0,7,7,7,1,7,7,0,0,0,0,0,.,0,0,0,0,108,108,108,1,6,16,92,0,0,0,0,.,0,0,0,0
CA-523,54,47,0,0,18,36,0,13,52,2,0,18,0,0,0,0,4,18,0,0,29,0,0,9,34,2,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
CA-524,208,102,0,0,88,120,0,19,90,118,0,46,0,0,30,4,0,0,88,0,56,0,0,19,90,30,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
CA-525,124,89,88,0.7097,35,89,0,18,57,51,16,4,4,0.1143,70,0,6,31,0,4,85,84,0.9438,12,26,51,12,0,0,.,0,0,0,0,160,144,144,0.9,41,128,32,0,160,144,144,0.9,41,128,32,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
CA-526,189,103,103,0.545,103,86,0,42,139,50,0,48,48,0.466,0,28,22,76,27,0,55,55,0.6395,20,63,23,0,0,0,.,0,0,0,0,152,152,150,0.9868,35,115,37,0,152,152,150,0.9868,35,115,37,0,0,0,0,.,0,0,0,0,16,16,10,0.625,0,0,16,0,0,0,0,.,0,0,0,0
CA-527,40,16,16,0.4,24,16,0,8,30,10,0,0,0,0,50,0,4,21,3,0,16,16,1,4,9,7,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
CA-529,55,13,6,0.1091,42,13,0,9,55,0,0,0,0,0,0,0,8,42,0,0,13,6,0.4615,1,13,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
CA-600,12298,10982,6345,0.5159,5513,6760,25,1633,5498,6713,87,5156,2459,0.446,1791,23,902,3035,2425,53,5801,3861,0.5712,731,2463,4263,34,25,25,1,0,0,25,0,1536,1467,1467,0.9551,451,1453,83,0,1536,1467,1467,0.9551,451,1453,83,0,0,0,0,.,0,0,0,0,19226,18983,8124,0.4226,1652,5444,13782,0,1481,1440,1394,0.9413,199,653,828,0
CA-601,4434,3891,3792,0.8552,1312,3065,57,561,1921,2461,52,1154,1154,0.8796,199,47,117,536,749,27,2680,2581,0.8421,444,1385,1655,25,57,57,1,0,0,57,0,579,579,579,1,70,254,325,0,579,579,579,1,70,254,325,0,0,0,0,.,0,0,0,0,3709,3709,3607,0.9725,257,878,2826,5,329,329,329,1,59,304,25,0
CA-602,2030,1611,1152,0.5675,630,1400,0,475,1345,661,24,425,290,0.4603,493,22,120,330,276,24,1186,862,0.6157,355,1015,385,0,0,0,.,0,0,0,0,734,712,653,0.8896,164,617,117,0,734,712,653,0.8896,164,617,117,0,0,0,0,.,0,0,0,0,2348,2348,2348,1,294,892,1456,0,44,44,44,1,3,16,28,0
CA-603,771,662,494,0.6407,443,328,0,82,364,398,9,394,300,0.6772,200,97,37,210,225,8,268,194,0.5915,45,154,173,1,0,0,.,0,0,0,0,108,108,108,1,24,75,33,0,108,108,108,1,24,75,33,0,0,0,0,.,0,0,0,0,774,774,160,0.2067,91,345,429,0,0,0,0,.,0,0,0,0
CA-604,682,588,588,0.8622,457,225,0,47,217,465,0,397,397,0.8687,0,12,33,169,288,0,191,191,0.8489,14,48,177,0,0,0,.,0,0,0,0,164,164,164,1,39,122,42,0,164,164,164,1,39,122,42,0,0,0,0,.,0,0,0,0,1067,1067,1067,1,128,418,649,0,710,710,668,0.9408,155,580,130,0
CA-606,642,533,371,0.5779,257,385,0,76,243,399,0,235,115,0.4475,200,0,28,90,167,0,298,256,0.6649,48,153,232,0,0,0,.,0,0,0,0,234,234,197,0.8419,27,86,148,0,234,234,197,0.8419,27,86,148,0,0,0,0,.,0,0,0,0,1452,1452,1274,0.8774,238,523,929,0,120,120,0,0,0,0,120,0
CA-607,152,152,146,0.9605,68,84,0,30,80,72,0,68,62,0.9118,150,0,11,32,36,0,84,84,1,19,48,36,0,0,0,.,0,0,0,0,4,4,4,1,2,4,0,0,4,4,4,1,2,4,0,0,0,0,0,.,0,0,0,0,307,307,307,1,30,93,214,0,0,0,0,.,0,0,0,0
CA-608,1023,903,863,0.8436,689,334,0,113,363,623,37,569,529,0.7678,65,2,74,226,426,37,334,334,1,39,137,197,0,0,0,.,0,0,0,0,292,292,292,1,66,241,51,0,292,292,292,1,66,241,51,0,0,0,0,.,0,0,0,0,1538,1538,630,0.4096,169,659,879,0,0,0,0,.,0,0,0,0
CA-609,714,607,607,0.8501,325,389,0,123,409,292,13,262,262,0.8062,0,0,59,176,136,13,345,345,0.8869,64,233,156,0,0,0,.,0,0,0,0,1093,1093,1093,1,340,1009,84,0,1093,1093,1093,1,340,1009,84,0,0,0,0,.,0,0,0,0,1098,1098,1098,1,172,510,588,0,0,0,0,.,0,0,0,0
CA-611,412,242,101,0.2451,133,269,10,76,231,175,6,81,6,0.0451,231,0,14,69,58,6,151,85,0.316,62,162,107,0,10,10,1,0,0,10,0,374,374,3,0.008,374,374,0,0,374,374,3,0.008,374,374,0,0,0,0,0,.,0,0,0,0,498,498,151,0.3032,72,122,376,0,0,0,0,.,0,0,0,0
CA-612,89,81,81,0.9101,49,40,0,21,66,23,0,41,41,0.8367,110,0,8,26,23,0,40,40,1,13,40,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,148,148,148,1,14,66,82,0,0,0,0,.,0,0,0,0
CA-613,182,162,134,0.7363,126,56,0,54,132,50,0,126,98,0.7778,0,0,36,76,50,0,36,36,0.6429,18,56,0,0,0,0,.,0,0,0,0,32,0,0,0,12,32,0,0,0,0,0,.,0,0,0,0,32,0,0,0,12,32,0,0,32,32,32,1,18,32,0,0,0,0,0,.,0,0,0,0
CA-614,259,172,160,0.6178,147,112,0,25,107,152,0,108,100,0.6803,12,28,17,65,82,0,64,60,0.5357,8,42,70,0,0,0,.,0,0,0,0,74,74,74,1,15,43,31,0,74,74,74,1,15,43,31,0,0,0,0,.,0,0,0,0,222,222,44,0.1982,29,34,188,0,0,0,0,.,0,0,0,0
CA-615,13,0,0,0,0,13,0,2,12,1,0,0,0,.,0,0,0,0,0,0,0,0,0,2,12,1,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
CO-500,2115,1626,807,0.3816,1013,1102,0,218,1275,840,0,680,450,0.4442,294,105,37,549,464,0,946,357,0.324,181,726,376,0,0,0,.,0,0,0,0,118,118,118,1,95,117,1,0,118,118,118,1,95,117,1,0,0,0,0,.,0,0,0,0,809,809,469,0.5797,168,287,522,0,0,0,0,.,0,0,0,0
CO-503,4790,4485,2827,0.5902,2230,2493,67,729,2288,2308,194,1993,967,0.4336,635,486,237,810,1375,45,2450,1818,0.7292,492,1478,866,149,42,42,1,0,0,67,0,928,928,928,1,243,732,196,0,928,928,928,1,243,732,196,0,0,0,0,.,0,0,0,0,2584,2518,2333,0.9029,250,565,2019,0,54,54,54,1,0,0,54,0
CO-504,751,723,676,0.9001,298,453,0,121,431,319,1,270,249,0.8356,210,90,28,92,205,1,453,427,0.9426,93,339,114,0,0,0,.,0,0,0,0,78,78,78,1,9,29,49,0,78,78,78,1,9,29,49,0,0,0,0,.,0,0,0,0,582,582,582,1,67,237,345,0,0,0,0,.,0,0,0,0
CT-503,772,706,565,0.7319,532,240,0,128,400,366,6,487,416,0.782,37,57,74,266,260,6,219,149,0.6208,54,134,106,0,0,0,.,0,0,0,0,122,122,122,1,23,72,50,0,122,122,122,1,23,72,50,0,0,0,0,.,0,0,0,0,1503,1492,1365,0.9082,192,544,959,0,0,0,0,.,0,0,0,0
CT-505,2464,2196,2140,0.8685,1744,720,0,345,1095,1365,4,1543,1529,0.8767,269,129,229,762,978,4,653,611,0.8486,116,333,387,0,0,0,.,0,0,0,0,517,517,498,0.9632,114,347,170,0,517,517,498,0.9632,114,347,170,0,0,0,0,.,0,0,0,0,5124,5063,3728,0.7276,594,1615,3509,0,0,0,0,.,0,0,0,0
DC-500,8314,7949,7692,0.9252,6077,2237,0,1619,5049,3255,10,6001,5863,0.9648,708,125,1183,3805,2262,10,1948,1829,0.8176,436,1244,993,0,0,0,.,0,0,0,0,3824,3824,3824,1,1118,3502,322,0,3761,3761,3761,1,1097,3439,322,0,63,63,63,1,21,63,0,0,6567,6524,6043,0.9202,957,3307,3260,0,2296,2296,72,0.0314,296,778,1518,0
DE-500,1170,1057,701,0.5991,590,580,0,169,450,700,20,477,345,0.5847,31,129,62,210,371,9,580,356,0.6138,107,240,329,11,0,0,.,0,0,0,0,144,144,144,1,39,116,28,0,144,144,144,1,39,116,28,0,0,0,0,.,0,0,0,0,601,601,455,0.7571,22,59,542,0,65,65,65,1,0,0,65,0
FL-500,856,767,640,0.7477,396,460,0,69,243,581,32,314,314,0.7929,0,112,20,84,280,32,453,326,0.7087,49,159,301,0,0,0,.,0,0,0,0,43,43,43,1,4,11,32,0,43,43,43,1,4,11,32,0,0,0,0,.,0,0,0,0,339,339,339,1,26,104,235,0,0,0,0,.,0,0,0,0
FL-501,1240,1071,1018,0.821,717,513,10,195,595,645,0,585,585,0.8159,0,11,113,359,358,0,476,423,0.8246,82,236,277,0,10,10,1,0,0,10,0,638,638,532,0.8339,137,530,108,0,638,638,532,0.8339,137,530,108,0,0,0,0,.,0,0,0,0,1460,1460,1424,0.9753,163,480,980,0,79,79,7,0.0886,8,25,54,0
FL-502,2163,2025,1976,0.9135,1378,740,45,134,549,1546,68,1240,1216,0.8824,0,48,56,305,1049,24,740,715,0.9662,78,244,452,44,45,45,1,0,0,45,0,774,674,633,0.8178,220,626,148,0,774,674,633,0.8178,220,626,148,0,0,0,0,.,0,0,0,0,1415,1373,1357,0.959,540,741,674,0,0,0,0,.,0,0,0,0
