CoC,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_ES_TH_SH,Total_Emergency_Shelter_ES_Beds_excluding_seasonaloverflow,Total_Transitional_Housing_TH_Beds,Total_Safe_Haven_SH_Beds,Total_Units_for_Households_with_Children_ES_TH,Total_Beds_for_Households_with_Children_ES_TH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Year_Round_ES_Beds,Total_Non_DV_Year_Round_ES_Beds,Total_HMIS_Year_Round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_Overflow_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_TH_Beds,Total_Year_Round_TH_Beds,Total_Non_DV_Year_Round_TH_Beds,Total_HMIS_Year_Round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_SH_Beds,Total_Year_Round_SH_Beds,Total_Non_DV_Year_Round_SH_Beds,Total_HMIS_Year_Round_SH_Beds,SH_HMIS_Participation_Rate,Total_SH_Beds_for_Households_without_Children,Total_PSH_Beds,Total_Year_Round_PSH_Beds,Total_Non_DV_Year_Round_PSH_Beds,Total_HMIS_Year_Round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children
TX-610,76,52,52,1,58,18,0,12,42,34,58,34,34,1.0,0,18,7,24,34,18,18,18,18,1,5,18,.,0,0,0,0,0,0,48,48,48,48,1.0,0,4,12,36
TX-611,609,585,581,0.993,526,83,0,61,217,392,526,502,498,0.992,0,20,34,139,387,83,83,83,83,1,27,78,5,0,0,0,0,0,0,96,96,96,52,0.542,53,8,22,74
TX-624,284,190,190,1,284,0,0,32,142,142,284,190,190,1.0,0,0,32,142,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,1.0,0,1,4,0
TX-700,4695,3867,2751,0.711,1378,3292,25,565,1841,2854,1378,1167,1063,0.911,0,203,154,530,848,3292,3292,2675,1663,0.622,411,1311,1981,25,25,25,25,1,25,3002,3002,2796,1631,0.583,573,522,1802,1200
TX-701,302,257,237,0.922,207,95,0,47,105,197,207,162,148,0.914,0,9,27,65,142,95,95,95,89,0.937,20,40,55,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
TX-702,270,167,63,0.377,150,120,0,67,178,92,150,95,23,0.242,0,10,32,90,60,120,120,72,40,0.556,35,88,32,0,0,0,0,0,0,16,16,16,16,1.0,7,3,9,7
TX-703,722,620,142,0.229,259,463,0,103,235,487,259,209,79,0.378,0,25,36,78,181,463,463,411,63,0.153,67,157,306,0,0,0,0,0,0,62,62,62,32,0.516,12,19,44,18
UT-500,1746,1421,1245,0.876,916,781,49,234,801,945,916,728,620,0.852,452,105,99,322,594,781,781,644,576,0.894,135,479,302,49,49,49,49,1,49,1297,1297,1297,1203,0.928,415,156,539,758
UT-503,1048,607,442,0.728,512,536,0,180,696,352,512,286,204,0.713,110,76,74,319,193,536,536,321,238,0.741,106,377,159,0,0,0,0,0,0,164,164,164,99,0.604,95,12,24,140
UT-504,160,96,62,0.646,73,87,0,34,111,49,73,31,15,0.484,0,0,16,62,11,87,87,65,47,0.723,18,49,38,0,0,0,0,0,0,132,132,132,120,0.909,57,11,36,96
VA-500,968,904,698,0.772,310,648,10,90,306,662,310,258,258,1.0,69,120,29,118,192,648,648,636,430,0.676,61,188,460,10,10,10,10,1,10,525,525,525,257,0.49,117,79,236,289
VA-501,571,467,264,0.565,364,207,0,75,321,250,364,308,127,0.412,108,72,42,186,178,207,207,159,137,0.862,33,135,72,0,0,0,0,0,0,357,357,357,271,0.759,161,31,132,225
VA-502,635,599,194,0.324,408,227,0,39,169,466,408,372,80,0.215,0,5,20,104,304,227,227,227,114,0.502,19,65,162,0,0,0,0,0,0,114,114,114,47,0.412,17,11,28,86
VA-503,380,250,213,0.852,125,255,0,69,278,102,125,62,61,0.984,64,0,16,74,51,255,255,188,152,0.809,53,204,51,0,0,0,0,0,0,275,275,275,275,1.0,50,19,50,225
VA-504,180,147,115,0.782,92,88,0,50,96,84,92,67,58,0.866,60,10,26,26,66,88,88,80,57,0.713,24,70,18,0,0,0,0,0,0,65,65,65,65,1.0,46,5,13,52
VA-505,580,441,197,0.447,237,321,22,103,289,291,237,173,30,0.173,213,38,47,71,166,321,321,246,145,0.589,56,218,103,22,22,22,22,1,22,439,439,439,155,0.353,71,60,160,279
VA-507,143,101,101,1,72,71,0,30,111,32,72,30,30,1.0,60,0,17,62,10,71,71,71,71,1,13,49,22,0,0,0,0,0,0,135,135,135,64,0.474,62,0,0,135
VA-508,246,246,177,0.72,137,109,0,38,132,114,137,137,86,0.628,0,0,25,81,56,109,109,109,91,0.835,13,51,58,0,0,0,0,0,0,44,44,44,44,1.0,0,14,32,12
VA-509,68,68,68,1,46,22,0,14,14,54,46,46,46,1.0,0,10,14,14,32,22,22,22,22,1,.,.,22,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
VA-510,89,69,0,0,81,8,0,57,57,32,81,61,0,0.0,0,0,57,57,24,8,8,8,0,0,.,.,8,0,0,0,0,0,0,55,55,55,22,0.4,0,0,0,55
VA-513,234,130,34,0.262,168,66,0,30,92,142,168,89,22,0.247,0,29,15,45,123,66,66,41,12,0.293,15,47,19,0,0,0,0,0,0,45,45,45,4,0.089,7,10,28,17
VA-514,143,120,112,0.933,111,32,0,29,84,59,111,88,80,0.909,37,13,16,52,59,32,32,32,32,1,13,32,0,0,0,0,0,0,0,108,108,46,0,0.0,31,25,62,46
VA-517,58,58,35,0.603,46,12,0,3,31,27,46,46,35,0.761,0,4,3,31,15,12,12,12,0,0,.,.,12,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
VA-518,170,154,147,0.955,142,28,0,25,105,65,142,126,126,1.0,22,0,20,84,58,28,28,28,21,0.75,5,21,7,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
VA-521,901,631,589,0.933,457,444,0,174,736,165,457,236,215,0.911,30,7,71,322,135,444,444,395,374,0.947,103,414,30,0,0,0,0,0,0,12,12,12,12,1.0,12,0,0,12
VA-600,274,274,263,0.96,126,143,5,71,213,61,126,126,115,0.913,73,15,26,82,44,143,143,143,143,1,45,131,12,5,5,5,5,1,5,113,113,113,113,1.0,56,14,36,77
VA-601,1204,1060,912,0.86,402,794,8,267,884,320,402,346,338,0.977,196,108,73,250,152,794,794,706,566,0.802,194,634,160,8,8,8,8,1,8,392,392,392,342,0.872,126,27,99,293
VA-602,142,130,130,1,77,65,0,40,117,25,77,65,65,1.0,16,2,26,61,16,65,65,65,65,1,14,56,9,0,0,0,0,0,0,2,2,2,2,1.0,1,0,0,2
VA-603,355,338,286,0.846,195,148,12,55,182,173,195,178,178,1.0,67,67,26,90,105,148,148,148,96,0.649,29,92,56,12,12,12,12,1,12,52,52,52,33,0.635,0,6,15,37
VA-604,349,319,319,1,138,211,0,92,294,55,138,108,108,1.0,47,0,34,83,55,211,211,211,211,1,58,211,0,0,0,0,0,0,0,26,26,26,18,0.692,26,0,0,26
VI-500,195,141,141,1,71,124,0,34,72,123,71,37,37,1.0,0,0,12,44,27,124,124,104,104,1,22,28,96,0,0,0,0,0,0,52,52,52,35,0.673,14,17,26,26
VT-500,527,424,259,0.611,265,256,6,113,306,221,265,193,128,0.663,47,15,55,147,118,256,256,225,125,0.556,58,159,97,6,6,6,6,1,6,399,399,399,294,0.737,120,37,98,301
VT-501,278,185,165,0.892,189,89,0,57,163,115,189,156,136,0.872,4,2,38,110,79,89,89,29,29,1,19,53,36,0,0,0,0,0,0,94,94,94,81,0.862,39,2,6,88
WA-500,6861,6238,5192,0.832,2503,4313,45,1128,4062,2799,2503,2317,1931,0.833,205,218,224,810,1693,4313,4313,3876,3216,0.83,904,3252,1061,45,45,45,45,1,45,4059,4059,4059,3380,0.833,1503,253,825,3234
WA-501,3956,3279,2628,0.801,1800,2156,0,805,2516,1440,1800,1296,1009,0.779,242,142,325,1124,676,2156,2156,1983,1619,0.816,480,1392,764,0,0,0,0,0,0,1435,1435,1398,871,0.623,346,112,349,1086
WA-502,1408,1307,802,0.614,682,726,0,241,778,630,682,642,360,0.561,0,0,64,279,403,726,726,665,442,0.665,177,499,227,0,0,0,0,0,0,475,475,475,266,0.56,114,65,143,332
WA-503,1865,1633,1323,0.81,409,1456,0,518,1420,445,409,344,324,0.942,186,37,67,170,239,1456,1456,1289,999,0.775,451,1250,206,0,0,0,0,0,0,506,506,506,313,0.619,273,26,82,424
WA-504,1468,1387,1336,0.963,394,1074,0,368,1149,319,394,375,361,0.963,0,20,46,151,243,1074,1074,1012,975,0.963,322,998,76,0,0,0,0,0,0,1034,1034,1034,841,0.813,229,196,611,423
WA-507,542,485,224,0.462,335,207,0,132,365,177,335,298,101,0.339,55,0,54,174,161,207,207,187,123,0.658,78,191,16,0,0,0,0,0,0,197,197,197,116,0.589,9,23,60,137
WA-508,569,546,546,1,146,413,10,158,400,169,146,123,123,1.0,74,39,44,104,42,413,413,413,413,1,114,296,117,10,10,10,10,1,10,893,893,893,311,0.348,225,126,405,488
WI-500,4105,2917,2545,0.872,2030,2068,7,900,2767,1338,2030,1257,1047,0.833,117,322,380,1225,805,2068,2068,1653,1491,0.902,520,1542,526,7,7,7,7,1,7,502,502,502,341,0.679,27,41,131,371
WI-501,1631,1558,1409,0.904,765,823,43,272,789,842,765,702,639,0.91,31,0,117,322,443,823,823,813,727,0.894,155,467,356,43,43,43,43,1,43,1078,1078,1078,948,0.879,134,81,230,848
WI-502,322,257,239,0.93,206,116,0,49,150,172,206,175,157,0.897,0,30,29,87,119,116,116,82,82,1,20,63,53,0,0,0,0,0,0,76,76,71,36,0.507,19,1,4,72
WI-503,634,587,570,0.971,323,297,14,114,323,311,323,291,291,1.0,35,16,60,159,164,297,297,282,265,0.94,54,164,133,14,14,14,14,1,14,860,860,860,860,1.0,23,133,508,352
WV-500,143,101,101,1,103,40,0,22,64,79,103,74,74,1.0,16,6,11,30,73,40,40,27,27,1,11,34,6,0,0,0,0,0,0,16,16,16,16,1.0,11,0,0,16
WV-501,340,319,319,1,185,144,11,55,176,164,185,164,164,1.0,0,0,19,72,113,144,144,144,144,1,36,104,40,11,11,11,11,1,11,465,465,465,450,0.968,70,32,94,371
WV-503,445,428,248,0.579,312,133,0,55,174,271,312,295,151,0.512,0,42,37,116,196,133,133,133,97,0.729,18,58,75,0,0,0,0,0,0,97,97,97,92,0.948,60,2,5,92
WV-508,950,723,446,0.617,604,346,0,106,326,624,604,468,308,0.658,40,23,53,161,443,346,346,255,138,0.541,53,165,181,0,0,0,0,0,0,237,237,237,103,0.435,113,28,69,168
WY-500,753,521,375,0.72,514,239,0,141,368,385,514,324,228,0.704,0,31,90,233,281,239,239,197,147,0.746,51,135,104,0,0,0,0,0,0,127,127,127,14,0.11,14,0,0,127
Total,429835,375613,292160,,225840,201879,2116,70789,221083,208752,225840,190684,150555,,18952,32567,34987,110703,115137,201879,201879,182822,139561,,35802,110380,91499,2116,2116,2107,2044,,2116,267106,267106,264945,183682,,67964,37213,105981,161125
